--- Experiment Results for knapsack-20.txt (n=20, W=524) ---
Run 42: Quality = 667, Time = 0.0008s
Run 43: Quality = 727, Time = 0.0011s
Run 44: Quality = 673, Time = 0.0011s
Run 45: Quality = 627, Time = 0.0008s
Run 46: Quality = 663, Time = 0.0008s
Run 47: Quality = 650, Time = 0.0008s
Run 48: Quality = 643, Time = 0.0008s
Run 49: Quality = 661, Time = 0.0008s
Run 50: Quality = 621, Time = 0.0008s
Run 51: Quality = 648, Time = 0.0008s
Run 52: Quality = 628, Time = 0.0008s
Run 53: Quality = 716, Time = 0.0008s
Run 54: Quality = 654, Time = 0.0008s
Run 55: Quality = 663, Time = 0.0008s
Run 56: Quality = 652, Time = 0.0008s
Run 57: Quality = 705, Time = 0.0009s
Run 58: Quality = 721, Time = 0.0008s
Run 59: Quality = 698, Time = 0.0008s
Run 60: Quality = 664, Time = 0.0008s
Run 61: Quality = 701, Time = 0.0008s
Run 62: Quality = 636, Time = 0.0008s
Run 63: Quality = 702, Time = 0.0011s
Run 64: Quality = 676, Time = 0.0008s
Run 65: Quality = 646, Time = 0.0008s
Run 66: Quality = 715, Time = 0.0008s
Run 67: Quality = 641, Time = 0.0008s
Run 68: Quality = 635, Time = 0.0008s
Run 69: Quality = 737, Time = 0.0008s
Run 70: Quality = 686, Time = 0.0008s
Run 71: Quality = 669, Time = 0.0008s
Run 72: Quality = 661, Time = 0.0009s
Run 73: Quality = 662, Time = 0.0009s
Run 74: Quality = 625, Time = 0.0008s
Run 75: Quality = 647, Time = 0.0013s
Run 76: Quality = 658, Time = 0.0008s
Run 77: Quality = 591, Time = 0.0009s
Run 78: Quality = 655, Time = 0.0009s
Run 79: Quality = 633, Time = 0.0010s
Run 80: Quality = 691, Time = 0.0009s
Run 81: Quality = 655, Time = 0.0010s
Run 82: Quality = 675, Time = 0.0010s
Run 83: Quality = 664, Time = 0.0008s
Run 84: Quality = 617, Time = 0.0009s
Run 85: Quality = 706, Time = 0.0009s
Run 86: Quality = 693, Time = 0.0008s
Run 87: Quality = 664, Time = 0.0008s
Run 88: Quality = 673, Time = 0.0010s
Run 89: Quality = 627, Time = 0.0015s
Run 90: Quality = 633, Time = 0.0011s
Run 91: Quality = 729, Time = 0.0014s
Run 92: Quality = 635, Time = 0.0009s
Run 93: Quality = 681, Time = 0.0009s
Run 94: Quality = 581, Time = 0.0009s
Run 95: Quality = 615, Time = 0.0009s
Run 96: Quality = 670, Time = 0.0008s
Run 97: Quality = 637, Time = 0.0008s
Run 98: Quality = 619, Time = 0.0014s
Run 99: Quality = 702, Time = 0.0011s
Run 100: Quality = 643, Time = 0.0009s
>> Average Quality for k=100: 664.97

Testing k = 1000 (100 runs)
------------------------------
Run 1: Quality = 710, Time = 0.0107s
Run 2: Quality = 687, Time = 0.0128s
Run 3: Quality = 743, Time = 0.0095s
Run 4: Quality = 691, Time = 0.0115s
Run 5: Quality = 718, Time = 0.0103s
Run 6: Quality = 704, Time = 0.0098s
Run 7: Quality = 682, Time = 0.0140s
Run 8: Quality = 701, Time = 0.0171s
Run 9: Quality = 724, Time = 0.0098s
Run 10: Quality = 742, Time = 0.0094s
Run 11: Quality = 699, Time = 0.0095s
Run 12: Quality = 727, Time = 0.0098s
Run 13: Quality = 716, Time = 0.0088s
Run 14: Quality = 702, Time = 0.0097s
Run 15: Quality = 733, Time = 0.0085s
Run 16: Quality = 708, Time = 0.0106s
Run 17: Quality = 765, Time = 0.0096s
Run 18: Quality = 690, Time = 0.0090s
Run 19: Quality = 695, Time = 0.0091s
Run 20: Quality = 751, Time = 0.0098s
Run 21: Quality = 702, Time = 0.0096s
Run 22: Quality = 735, Time = 0.0120s
Run 23: Quality = 695, Time = 0.0086s
Run 24: Quality = 763, Time = 0.0085s
Run 25: Quality = 707, Time = 0.0088s
Run 26: Quality = 724, Time = 0.0091s
Run 27: Quality = 736, Time = 0.0104s
Run 28: Quality = 682, Time = 0.0137s
Run 29: Quality = 721, Time = 0.0144s
Run 30: Quality = 700, Time = 0.0132s
Run 31: Quality = 692, Time = 0.0114s
Run 32: Quality = 730, Time = 0.0123s
Run 33: Quality = 739, Time = 0.0155s
Run 34: Quality = 722, Time = 0.0157s
Run 35: Quality = 718, Time = 0.0106s
Run 36: Quality = 695, Time = 0.0110s
Run 37: Quality = 686, Time = 0.0112s
Run 38: Quality = 719, Time = 0.0112s
Run 39: Quality = 743, Time = 0.0161s
Run 40: Quality = 744, Time = 0.0114s
Run 41: Quality = 696, Time = 0.0121s
Run 42: Quality = 691, Time = 0.0111s
Run 43: Quality = 728, Time = 0.0102s
Run 44: Quality = 714, Time = 0.0154s
Run 45: Quality = 741, Time = 0.0136s
Run 46: Quality = 735, Time = 0.0109s
Run 47: Quality = 699, Time = 0.0110s
Run 48: Quality = 693, Time = 0.0162s
Run 49: Quality = 682, Time = 0.0144s
Run 50: Quality = 700, Time = 0.0119s
Run 51: Quality = 713, Time = 0.0105s
Run 52: Quality = 690, Time = 0.0111s
Run 53: Quality = 737, Time = 0.0112s
Run 54: Quality = 705, Time = 0.0100s
Run 55: Quality = 716, Time = 0.0108s
Run 56: Quality = 699, Time = 0.0104s
Run 57: Quality = 699, Time = 0.0090s
Run 58: Quality = 710, Time = 0.0093s
Run 59: Quality = 714, Time = 0.0085s
Run 60: Quality = 739, Time = 0.0089s
Run 61: Quality = 751, Time = 0.0104s
Run 62: Quality = 682, Time = 0.0122s
Run 63: Quality = 698, Time = 0.0123s
Run 64: Quality = 751, Time = 0.0103s
Run 65: Quality = 737, Time = 0.0095s
Run 66: Quality = 752, Time = 0.0100s
Run 67: Quality = 688, Time = 0.0084s
Run 68: Quality = 709, Time = 0.0107s
Run 69: Quality = 679, Time = 0.0162s
Run 70: Quality = 719, Time = 0.0113s
Run 71: Quality = 710, Time = 0.0104s
Run 72: Quality = 739, Time = 0.0100s
Run 73: Quality = 674, Time = 0.0101s
Run 74: Quality = 688, Time = 0.0148s
Run 75: Quality = 715, Time = 0.0156s
Run 76: Quality = 709, Time = 0.0141s
Run 77: Quality = 706, Time = 0.0129s
Run 78: Quality = 704, Time = 0.0113s
Run 79: Quality = 747, Time = 0.0162s
Run 80: Quality = 685, Time = 0.0130s
Run 81: Quality = 719, Time = 0.0113s
Run 82: Quality = 707, Time = 0.0147s
Run 83: Quality = 683, Time = 0.0137s
Run 84: Quality = 731, Time = 0.0102s
Run 85: Quality = 702, Time = 0.0092s
Run 86: Quality = 716, Time = 0.0108s
Run 87: Quality = 692, Time = 0.0083s
Run 88: Quality = 716, Time = 0.0093s
Run 89: Quality = 723, Time = 0.0085s
Run 90: Quality = 690, Time = 0.0099s
Run 91: Quality = 682, Time = 0.0107s
Run 92: Quality = 687, Time = 0.0116s
Run 93: Quality = 700, Time = 0.0114s
Run 94: Quality = 715, Time = 0.0117s
Run 95: Quality = 718, Time = 0.0100s
Run 96: Quality = 725, Time = 0.0131s
Run 97: Quality = 702, Time = 0.0103s
Run 98: Quality = 746, Time = 0.0099s
Run 99: Quality = 785, Time = 0.0110s
Run 100: Quality = 735, Time = 0.0100s
>> Average Quality for k=1000: 713.59

Testing k = 10000 (100 runs)
------------------------------
Run 1: Quality = 731, Time = 0.0938s
Run 2: Quality = 748, Time = 0.0938s
Run 3: Quality = 760, Time = 0.0921s
Run 4: Quality = 787, Time = 0.0945s
Run 5: Quality = 757, Time = 0.0933s
Run 6: Quality = 738, Time = 0.1074s
Run 7: Quality = 773, Time = 0.0891s
Run 8: Quality = 753, Time = 0.1079s
Run 9: Quality = 730, Time = 0.1037s
Run 10: Quality = 735, Time = 0.0929s
Run 11: Quality = 739, Time = 0.0935s
Run 12: Quality = 779, Time = 0.1189s
Run 13: Quality = 776, Time = 0.1179s
Run 14: Quality = 754, Time = 0.1069s
Run 15: Quality = 748, Time = 0.1170s
Run 16: Quality = 755, Time = 0.0929s
Run 17: Quality = 765, Time = 0.1163s
Run 18: Quality = 764, Time = 0.1007s
Run 19: Quality = 765, Time = 0.1042s
Run 20: Quality = 736, Time = 0.1081s
Run 21: Quality = 724, Time = 0.1004s
Run 22: Quality = 762, Time = 0.0978s
Run 23: Quality = 734, Time = 0.1146s
Run 24: Quality = 762, Time = 0.0927s
Run 25: Quality = 748, Time = 0.1428s
Run 26: Quality = 739, Time = 0.0930s
Run 27: Quality = 779, Time = 0.1049s
Run 28: Quality = 735, Time = 0.1002s
Run 29: Quality = 739, Time = 0.1013s
Run 30: Quality = 730, Time = 0.0947s
Run 31: Quality = 770, Time = 0.0914s
Run 32: Quality = 739, Time = 0.1005s
Run 33: Quality = 781, Time = 0.1100s
Run 34: Quality = 745, Time = 0.0896s
Run 35: Quality = 741, Time = 0.1092s
Run 36: Quality = 737, Time = 0.0993s
Run 37: Quality = 740, Time = 0.1161s
Run 38: Quality = 757, Time = 0.1129s
Run 39: Quality = 755, Time = 0.1113s
Run 40: Quality = 757, Time = 0.0984s
Run 41: Quality = 787, Time = 0.0968s
Run 42: Quality = 732, Time = 0.1072s
